Date,Year,Time,nestlingID,Color,NID,Habitat,Site,Individual.ID,Nestling.FWB,Female.FWB,Male.FWB,Male.Band.Combo,Egg.Mass,Young.Day,Old.Day,Day,Species,Mass,Tarsus.1,Tarsus.2,Tarsus.3,Tarsus.Average,Wingchord,wingchord.2,Wingchord.3,Wingchord.average,total.pin,pin.once.broken,feather.once.broken,Bill.Width,Bill.Length,Bill.Depth,tail.pin,Tail,Head,Measure,nest.para,nest.fate,nest.predation,bhco.nestling,bhco.hab
5/17/2018,2018,11:13,01CRL18_KK,KK,01CRL18,Urban,South VT,201804SOSP,277149474,277149457,277149427,,NA,3,4,4,SOSP,7.6,13.2,12.8,12.7,12.9,NA,NA,NA,13.9,3.3,NA,NA,3.6,3.5,3.4,NA,NA,NA,SJL,no,success,no,no,urban.no
5/17/2018,2018,11:13,01CRL18_KG,KG,01CRL18,Urban,South VT,201805SOSP,277149475,277149457,277149427,,NA,3,4,4,SOSP,8.2,13.2,13.2,12.7,13.03333333,NA,NA,NA,13.7,3.5,NA,NA,3.6,3.6,3.4,NA,NA,NA,SJL,no,success,no,no,urban.no
5/19/2018,2018,NA,01CRL18_DD,DD,01CRL18,Urban,South VT,201806SOSP,277149472,277149457,277149427,,NA,5,6,6,SOSP,8.8,15.4,15.5,15.2,15.36666667,NA,NA,NA,17.4,7.2,NA,NA,3,3.7,3.5,NA,NA,NA,SJL,no,success,no,no,urban.no
5/19/2018,2018,NA,01CRL18_RR,RR,01CRL18,Urban,South VT,201807SOSP,277149473,277149457,277149427,,NA,5,6,6,SOSP,9.7,14.3,13.9,14.3,14.16666667,NA,NA,NA,17.9,6.9,NA,NA,4.1,4.3,3.6,NA,NA,NA,SJL,no,success,no,no,urban.no
5/19/2018,2018,NA,01CRL18_KK,KK,01CRL18,Urban,South VT,201804SOSP,277149474,277149457,277149427,,NA,5,6,6,SOSP,8.4,14.8,14.8,14.8,14.8,NA,NA,NA,18.5,8,NA,NA,4.7,3,3.5,NA,NA,NA,SJL,no,success,no,no,urban.no
5/19/2018,2018,NA,01CRL18_KG,KG,01CRL18,Urban,South VT,201805SOSP,277149475,277149457,277149427,,NA,5,6,6,SOSP,8.6,15.6,15.7,15.8,15.7,NA,NA,NA,18.4,7.4,NA,NA,4.4,3.5,4.4,NA,NA,NA,SJL,no,success,no,no,urban.no
5/22/2018,2018,10:54,01CRL18_DD,DD,01CRL18,Urban,South VT,201806SOSP,277149472,277149457,277149427,,NA,8,9,9,SOSP,13,19.7,19.6,19.5,19.6,NA,NA,NA,31.3,19.9,18.5,1.4,4.3,4.7,3.8,NA,NA,NA,SJL,no,success,no,no,urban.no
5/22/2018,2018,10:54,01CRL18_RR,RR,01CRL18,Urban,South VT,201807SOSP,277149473,277149457,277149427,,NA,8,9,9,SOSP,13.8,18,18,17.9,17.96666667,NA,NA,NA,29.3,20,17.7,2.3,4.4,4.7,4.1,NA,NA,NA,SJL,no,success,no,no,urban.no
5/22/2018,2018,10:54,01CRL18_KK,KK,01CRL18,Urban,South VT,201804SOSP,277149474,277149457,277149427,,NA,8,9,9,SOSP,12,18.3,18.4,18.4,18.36666667,NA,NA,NA,30.3,16.7,14.7,2,4.6,4.7,2.8,NA,NA,NA,SJL,no,success,no,no,urban.no
5/22/2018,2018,10:54,01CRL18_KG,KG,01CRL18,Urban,South VT,201805SOSP,277149475,277149457,277149427,,NA,8,9,9,SOSP,13.5,19.7,19.7,19.7,19.7,NA,NA,NA,30.4,15.3,14,1.3,4.7,4.9,3.9,NA,NA,NA,SJL,no,success,no,no,urban.no
5/24/2018,2018,12:05,01CRL18_DD,DD,01CRL18,Urban,South VT,201806SOSP,277149472,277149457,277149427,,NA,10,11,11,SOSP,12.6,20.6,20.5,20.4,20.5,NA,NA,NA,37.2,26.5,12.6,13.9,3.9,5,4.5,NA,NA,13.1,SJL,no,success,no,no,urban.no
5/24/2018,2018,12:05,01CRL18_RR,RR,01CRL18,Urban,South VT,201807SOSP,277149473,277149457,277149427,,NA,10,11,11,SOSP,15.3,18.3,18.3,17.9,18.16666667,NA,NA,NA,36.4,25.4,9.5,15.5,4.3,4.5,4.1,NA,NA,17.6,SJL,no,success,no,no,urban.no
5/24/2018,2018,12:05,01CRL18_KK,KK,01CRL18,Urban,South VT,201804SOSP,277149474,277149457,277149427,,NA,10,11,11,SOSP,12,18.6,18.9,18.7,18.73333333,NA,NA,NA,34.6,27.4,9.4,12.8,4.4,5.5,3.1,NA,NA,15.8,SJL,no,success,no,no,urban.no
5/24/2018,2018,12:05,01CRL18_KG,KG,01CRL18,Urban,South VT,201805SOSP,277149475,277149457,277149427,,NA,10,11,11,SOSP,11.6,19.2,19.9,19.3,19.46666667,NA,NA,NA,35,21,11.8,9.7,4.2,4.3,4.4,NA,NA,16.9,SJL,no,success,no,no,urban.no
4/29/2019,2019,10:35,01CRL19_RR,RR,01CRL19,Urban,other,,NA,NA,164192416,,NA,2,2,2,SOSP,3.6,8.5,8.4,8.2,8.366666667,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,SJL,no,success,no,no,urban.no
4/29/2019,2019,10:35,01CRL19_RD,RD,01CRL19,Urban,other,,NA,NA,164192416,,NA,2,2,2,SOSP,3,8.7,8.9,8.8,8.8,7.3,7.1,7.3,7.233333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,SJL,no,success,no,no,urban.no
4/29/2019,2019,10:35,01CRL19_GG,GG,01CRL19,Urban,other,,NA,NA,164192416,,NA,2,2,2,SOSP,3.4,9,9.6,9.2,9.266666667,8.5,8.2,8,8.233333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,SJL,no,success,no,no,urban.no
4/29/2019,2019,10:35,01CRL19_DD,DD,01CRL19,Urban,other,,NA,NA,164192416,,NA,2,2,2,SOSP,4.4,9.7,9.6,9.6,9.633333333,8.3,8.4,8.2,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,SJL,no,success,no,no,urban.no
5/5/2019,2019,11:00,01CRL19_DD,DD,01CRL19,Urban,other,,164192422,NA,164192416,,NA,8,8,8,SOSP,16.7,22,21.5,21.5,21.66666667,NA,NA,NA,32.4,21.2,15.5,5.2,4.1,5.3,5.1,NA,NA,15.5,SJL,no,success,no,no,urban.no
5/5/2019,2019,11:00,01CRL19_GG,GG,01CRL19,Urban,other,,164192423,NA,164192416,,NA,8,8,8,SOSP,14,21.8,21.4,21.4,21.53333333,NA,NA,NA,31.9,20.2,15.6,5.1,5.2,5.1,4.8,NA,NA,16.8,SJL,no,success,no,no,urban.no
5/5/2019,2019,11:00,01CRL19_RR,RR,01CRL19,Urban,other,,164192424,NA,164192416,,NA,8,8,8,SOSP,15.7,21.7,21.7,21.5,21.63333333,NA,NA,NA,31.4,16.9,13.4,4.8,5.4,5.1,5.9,NA,NA,17.1,SJL,no,success,no,no,urban.no
5/5/2019,2019,11:00,01CRL19_RD,RD,01CRL19,Urban,other,,164192425,NA,164192416,,NA,8,8,8,SOSP,18.5,21,20.5,21,20.83333333,NA,NA,NA,26.2,15.7,12.3,3.6,3.7,5.3,4,NA,NA,15.5,SJL,no,success,no,no,urban.no
5/11/2022,2022,,01IJV22_KK,KK,01IJV22,Urban,South VT,,NA,,,,NA,1,1,1,SOSP,3.9,8.11,8.27,8.08,8.153333333,8.27,8.15,8,8.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,IJV,no,,,,urban.no
5/15/2022,2022,,01IJV22_KK,KK,01IJV22,Urban,South VT,,289196756,,,,NA,5,5,5,SOSP,10.2,16.26,16.18,16.21,16.21666667,17.17,17.06,16.85,17.02666667,7.51,0,0,4.88,3.86,4.24,NA,NA,16.92,IJV,no,,,,urban.no
6/1/2018,2018,12:07,01SCV18_DD,DD,01SCV18,Rural,Stream,201837SOSP,277149505,277149478,NA,,NA,1,2,2,SOSP,5.2,9.6,9.5,9.5,9.533333333,NA,NA,NA,9.7,NA,NA,NA,3.5,3.3,4.1,NA,NA,NA,SJL,no,success,no,no,rural.no
6/1/2018,2018,12:07,01SCV18_KK,KK,01SCV18,Rural,Stream,201838SOSP,277149506,277149478,NA,,NA,1,2,2,SOSP,5.2,9.8,10.3,10.1,10.06666667,NA,NA,NA,9.5,NA,NA,NA,3.6,3.7,3,NA,NA,NA,SJL,no,success,no,no,rural.no
6/4/2018,2018,10:10,01SCV18_DD,DD,01SCV18,Rural,Stream,201837SOSP,277149505,277149478,NA,,NA,4,5,5,SOSP,13,17.9,17.9,17.7,17.83333333,NA,NA,NA,21.8,10.8,NA,NA,4.7,5.1,3.9,NA,NA,15.4,SJL,no,success,no,no,rural.no
6/4/2018,2018,11:10,01SCV18_KK,KK,01SCV18,Rural,Stream,201838SOSP,277149506,277149478,NA,,NA,4,5,5,SOSP,11.7,18,18,17.5,17.83333333,NA,NA,NA,20.9,10,NA,NA,3.8,4.7,4.6,NA,NA,13.4,SJL,no,success,no,no,rural.no
6/7/2018,2018,10:45,01SCV18_DD,DD,01SCV18,Rural,Stream,201837SOSP,277149505,277149478,NA,,NA,7,8,8,SOSP,16.7,21.8,21.7,21.7,21.73333333,NA,NA,NA,39.1,NA,NA,NA,4.5,5.7,4.8,NA,NA,39.1,SJL,no,success,no,no,rural.no
6/7/2018,2018,10:45,01SCV18_KK,KK,01SCV18,Rural,Stream,201838SOSP,277149506,277149478,NA,,NA,7,8,8,SOSP,15.6,20.6,20.6,20.8,20.66666667,NA,NA,NA,35.3,NA,NA,NA,4.8,5.3,4.9,NA,NA,35.3,SJL,no,success,no,no,rural.no
4/30/2019,2019,9:30,01SJL19_RD,RD,01SJL19,Urban,South VT,,164192449,164192415,164192417,,NA,0,1,1,SOSP,3.6,8.9,9.1,8.7,8.9,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,IJV,no,fail,no,no,urban.no
4/30/2019,2019,9:30,01SJL19_DD,DD,01SJL19,Urban,South VT,,164192450,164192415,164192417,,NA,0,1,1,SOSP,3.3,8.5,8.5,8.6,8.533333333,7,7.3,7.2,7.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,IJV,no,fail,no,no,urban.no
4/30/2019,2019,9:30,01SJL19_RR,RR,01SJL19,Urban,South VT,,164192451,164192415,164192417,,NA,0,1,1,SOSP,3.2,8.2,7.8,7.6,7.866666667,NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,IJV,no,fail,no,no,urban.no
4/30/2019,2019,9:30,01SJL19_GG,GG,01SJL19,Urban,South VT,,NA,164192415,164192417,,NA,0,1,1,SOSP,3.1,8.4,8.1,7.9,8.133333333,7.1,7.2,7.2,7.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,IJV,no,fail,no,no,urban.no
4/30/2019,2019,9:30,01SJL19_KK,KK,01SJL19,Urban,South VT,,NA,164192415,164192417,,NA,0,1,1,SOSP,2.3,8.4,7.6,8.6,8.2,NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,IJV,no,fail,no,no,urban.no
5/4/2019,2019,11:00,01SJL19_RD,RD,01SJL19,Urban,South VT,,164192449,164192415,164192417,,NA,4,5,5,SOSP,12.7,17.6,17.3,17.8,17.56666667,NA,NA,NA,19.8,9,NA,NA,4.3,3.9,3.1,NA,NA,16.7,SJL,no,fail,no,no,urban.no
5/4/2019,2019,11:00,01SJL19_DD,DD,01SJL19,Urban,South VT,,164192450,164192415,164192417,,NA,4,5,5,SOSP,11.8,17.8,17.4,17.8,17.66666667,NA,NA,NA,20.5,9.4,NA,NA,4.6,4.5,3.8,NA,NA,15.2,SJL,no,fail,no,no,urban.no
5/4/2019,2019,11:00,01SJL19_RR,RR,01SJL19,Urban,South VT,,164192451,164192415,164192417,,NA,4,5,5,SOSP,11.6,16.9,16.9,16.7,16.83333333,NA,NA,NA,19.8,8.9,NA,NA,3.3,4.1,4.1,NA,NA,17.6,SJL,no,fail,no,no,urban.no
5/4/2019,2019,11:00,01SJL19_KK,KK,01SJL19,Urban,South VT,,NA,164192415,164192417,,NA,4,5,5,SOSP,10.6,15.5,15.3,15.5,15.43333333,NA,NA,NA,16.3,6.9,NA,NA,3.9,3.8,3.9,NA,NA,15,SJL,no,fail,no,no,urban.no
5/4/2019,2019,11:00,01SJL19_GG,GG,01SJL19,Urban,South VT,,NA,164192415,164192417,,NA,4,5,5,SOSP,11.1,17.6,17.6,17.9,17.7,NA,NA,NA,19.9,9.6,NA,NA,4.1,4.1,4.2,NA,NA,17.4,SJL,no,fail,no,no,urban.no
5/9/2019,2019,11:30,01SJL19_KK,KK,01SJL19,Urban,North VT,,169192450,164192415,164192417,,NA,9,10,10,SOSP,15,21.8,20.9,20.9,21.2,NA,NA,NA,35.3,25.4,13.6,13,4.4,5.5,5.2,NA,NA,21.5,IJV,no,fail,no,no,urban.no
5/9/2019,2019,11:45,01SJL19_DD,DD,01SJL19,Urban,North VT,,169192451,164192415,164192417,,NA,9,10,10,SOSP,16,21.4,21.5,21.7,21.53333333,NA,NA,NA,40.8,29.6,11.2,19.4,4.5,5.6,5.1,NA,NA,21,IJV,no,fail,no,no,urban.no
4/27/2021,2021,11:00,01SJL21_DD,DD,01SJL21,Urban,North VT,,NA,NA,NA,,NA,1,1,1,SOSP,3.2,7.64,7.5,7.58,7.573333333,7.25,7.32,7.23,7.266666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,SJL,no,success,no,no,urban.no
4/27/2021,2021,11:00,01SJL21_KK,KK,01SJL21,Urban,North VT,,NA,NA,NA,,NA,1,1,1,SOSP,3.4,7.86,8.15,8.21,8.073333333,6.48,6.56,6.16,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,IJV,no,success,no,no,urban.no
4/27/2021,2021,11:00,01SJL21_GG,GG,01SJL21,Urban,North VT,,NA,NA,NA,,NA,1,1,1,SOSP,3.9,9.31,9.1,9.65,9.353333333,6.86,7.43,7.46,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,TEF,no,success,no,no,urban.no
5/2/2021,2021,9:12,01SJL21_KK,KK,01SJL21,Urban,North VT,,NA,,,,NA,6,6,6,SOSP,12.3,14.5,15.7,14.5,14.9,20.6,NA,NA,20.6,11.1,NA,NA,4.3,4.1,4.1,NA,2.1,17.3,IJV,no,success,no,no,urban.no
5/2/2021,2021,9:12,01SJL21_GG,GG,01SJL21,Urban,North VT,,NA,NA,NA,,NA,6,6,6,SOSP,13.7,17.2,17.2,16.8,17.06666667,24.5,NA,NA,24.5,14.1,NA,NA,4.7,4.1,4.1,NA,3.1,18.2,IJV,no,success,no,no,urban.no
5/2/2021,2021,,01SJL21_DD,DD,01SJL21,Urban,North VT,,NA,NA,NA,,NA,6,6,6,SOSP,12.8,18.66,18.81,19.06,18.84333333,23.8,NA,NA,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TEF,no,success,no,no,urban.no
5/5/2021,2021,11:35,01SJL21_GG,GG,01SJL21,Urban,North VT,,157121453,NA,NA,,NA,9,9,9,SOSP,16.7,21.29,21.76,21.78,21.61,38.88,NA,NA,38.88,26.18,18.62,8.5,4.77,4.11,4.5,NA,10.58,19.38,IJV,no,success,no,no,urban.no
5/5/2021,2021,11:35,01SJL21_KK,KK,01SJL21,Urban,North VT,,282192976,,,,NA,9,9,9,SOSP,15.7,20.33,19.63,20.29,20.08333333,NA,NA,NA,NA,23.58,17.95,4.69,4.94,4.93,3.28,NA,7.05,19.93,TEF,no,success,no,no,urban.no
5/5/2021,2021,11:20,01SJL21_DD,DD,01SJL21,Urban,North VT,,282192977,NA,NA,,NA,9,9,9,SOSP,16.5,20.76,20.6,20.85,20.73666667,36.12,NA,NA,36.12,22.22,17.51,4.61,4.42,4.88,4.4,NA,6.51,21.6,SJL,no,success,no,no,urban.no
6/6/2018,2018,8:45,01VNB18_GG,GG,01VNB18,Urban,South VT,201855SOSP,277149517,277179477,271176025,,NA,0,1,1,SOSP,3.2,7.6,7.8,7.6,7.666666667,NA,NA,NA,7.4,NA,NA,NA,3,2.8,3.2,NA,NA,8.6,SJL,yes,success,no,yes,urban.yes
6/6/2018,2018,8:45,01VNB18_KK,KK,01VNB18,Urban,South VT,201853SOSP,NA,277179477,271176025,,NA,0,1,1,SOSP,3.6,7.7,8.1,7.5,7.766666667,NA,NA,NA,7.9,NA,NA,NA,3.1,3.2,3.2,NA,NA,9.4,SJL,yes,success,no,yes,urban.yes
6/8/2018,2018,11:20,01VNB18_GG,GG,01VNB18,Urban,South VT,201855SOSP,277149517,277179477,271176025,,NA,3,4,4,SOSP,5.6,11.4,11.7,11.5,11.53333333,NA,NA,NA,10.5,1.9,NA,NA,3.8,2.7,3.4,NA,NA,10.7,SJL,yes,success,no,yes,urban.yes
6/8/2018,2018,11:20,01VNB18_KK,KK,01VNB18,Urban,South VT,201853SOSP,NA,277179477,271176025,,NA,3,4,4,SOSP,6.7,12.4,12.5,12.1,12.33333333,NA,NA,NA,12.2,1.8,NA,NA,3.7,3,4.2,NA,NA,11.5,SJL,yes,success,no,yes,urban.yes
6/10/2018,2018,10:44,01VNB18_GG,GG,01VNB18,Urban,South Vt,201855SOSP,277149517,277149477,271176025,,NA,5,6,6,SOSP,8.8,15.1,14.8,14.8,14.9,NA,NA,NA,16.8,5.9,NA,NA,4.2,3.9,4,NA,NA,13.7,SJL,yes,success,no,yes,urban.yes
6/13/2018,2018,12:30,01VNB18_GG,GG,01VNB18,Urban,South VT,201855SOSP,277149517,277149477,271176025,,NA,8,9,9,SOSP,11.5,17.9,17.9,17.6,17.8,NA,NA,NA,26.4,15.3,10.2,6.4,4.3,3.5,4.6,NA,NA,13.1,SJL,yes,success,no,yes,urban.yes
6/18/2019,2019,12:30,02AG19_GG,GG,02AG19,Urban,North VT,,NA,271176111,269131357,,NA,1,3,2,SOSP,2.3,7.8,8.2,8.3,8.1,5.7,6.3,6.4,6.133333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,IJV,yes,success,no,yes,urban.yes
6/18/2019,2019,12:30,02AG19_KK,KK,02AG19,Urban,North VT,,NA,271176111,269131357,,NA,1,3,2,SOSP,3.2,9.2,8.9,9.2,9.1,7.4,6.8,6.5,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,IJV,yes,success,no,yes,urban.yes
6/22/2019,2019,12:30,02AG19_KK,KK,02AG19,Urban,North VT,,NA,271176111,269131357,,NA,,,10,SOSP,9,17.3,16.5,16,16.6,NA,NA,NA,17.5,NA,NA,NA,3.7,4.6,7.1,NA,NA,17.4,IJV,yes,success,no,yes,urban.yes
6/22/2019,2019,12:30,02AG19_GG,GG,02AG19,Urban,North VT,,NA,271176111,269131357,,NA,,,10,SOSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IJV,yes,success,no,yes,urban.yes
6/1/2018,2018,~,02VNB18_KK,KK,02VNB18,Urban,South VT,201839SOSP,277149509,NA,269131398,,NA,0,0,0,SOSP,1.9,5.4,5.3,5.3,5.333333333,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,SJL,no,success,no,no,urban.no
6/1/2018,2018,~,02VNB18_GG,GG,02VNB18,Urban,South VT,201840SOSP,NA,NA,269131398,,NA,0,0,0,SOSP,1.7,5.8,6.3,6.6,6.233333333,NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,SJL,no,success,no,no,urban.no
6/4/2018,2018,11:39,02VNB18_KK,KK,02VNB18,Urban,South Vt,201839SOSP,277149509,NA,269131398,,NA,3,3,3,SOSP,5.2,9.4,9.3,9.3,9.333333333,NA,NA,NA,9.6,0.5,NA,NA,3.9,3.2,3.5,NA,NA,10.4,SJL,no,success,no,no,urban.no
6/4/2018,2018,11:39,02VNB18_GG,GG,02VNB18,Urban,South Vt,201840SOSP,NA,NA,269131398,,NA,3,3,3,SOSP,3.2,8,8,8,8,NA,NA,NA,7.1,NA,NA,NA,2,2,2.7,NA,NA,8.3,SJL,no,success,no,no,urban.no
6/6/2018,2018,10:38,02VNB18_KK,KK,02VNB18,Urban,South VT,201839SOSP,277149509,NA,269131398,,NA,5,5,5,SOSP,10,15,15,14.6,14.86666667,NA,NA,NA,14.6,3.3,NA,NA,3.7,3.8,4.5,NA,NA,12.4,SJL,no,success,no,no,urban.no
6/8/2018,2018,12:46,02VNB18_KK,KK,02VNB18,Urban,South VT,201839SOSP,277149509,NA,269131398,,NA,7,7,7,SOSP,20.1,19.5,19.4,19.1,19.33333333,NA,NA,NA,24.5,12.4,11.1,0.5,4.8,4.8,4.2,NA,NA,12.7,SJL,no,success,no,no,urban.no
6/19/2021,2021,7:23,03CAM21_GG,GG,03CAM21,Rural,Stream,,NA,,,,NA,5,6,6,SOSP,14.7,19.64,19.88,19.57,19.69666667,25.61,25.21,25.59,25.47,14.41,12.78,1.41,4.57,4.37,4.46,NA,4.49,19.2,IJV,no,success,no,no,rural.no
6/19/2021,2021,7:23,03CAM21_KK,KK,03CAM21,Rural,Stream,,NA,,,,NA,5,6,6,SOSP,15.6,20.24,20.15,19.99,20.12666667,27.57,27.98,27.8,27.78333333,17.1,15.23,2.21,4.5,4.88,4.82,NA,5.05,19.19,IJV,no,success,no,no,rural.no
6/22/2021,2021,7:44,03CAM21_KK,KK,03CAM21,Rural,Stream,,289196724,,,,NA,8,9,9,SOSP,16.7,21.85,21.59,21.67,21.70333333,41.42,NA,NA,41.42,29.47,12.4,16.03,5.65,5.5,5.56,NA,11.74,20.95,IJV,no,success,no,no,rural.no
6/22/2021,2021,7:44,03CAM21_GG,GG,03CAM21,Rural,Stream,,289196725,,,,NA,8,9,9,SOSP,16.4,20.6,20.97,21.39,20.98666667,38.49,NA,NA,38.49,27.53,11.08,16.8,5.13,5.86,5.04,NA,11.64,19.58,IJV,no,success,no,no,rural.no
6/1/2022,2022,,03CMT22_KK,KK,03CMT22,Urban,Radford,,NA,,,,NA,2,2,2,SOSP,4,8.73,8.62,8.9,8.75,8.43,8.66,8.54,8.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,TEF,no,,,,urban.no
6/2/2022,2022,,03CMT22_GG,GG,03CMT22,Urban,Radford,,NA,,,,NA,2,2,2,SOSP,4.6,9.42,9.32,9.15,9.296666667,8.5,8.45,8.44,8.463333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,SJL,no,,,,urban.no
6/5/2022,2022,,03CMT22_KK,KK,03CMT22,Urban,Radford,,NA,,,,NA,6,6,6,SOSP,11.5,17.61,17.81,17.76,17.72666667,21.71,23.3,22.84,22.61666667,10.46,NA,NA,3.49,3.9,3.81,NA,NA,27.73,SJL,no,,,,urban.no
6/5/2022,2022,,03CMT22_GG,GG,03CMT22,Urban,Radford,,NA,,,,NA,6,6,6,SOSP,12.9,19.31,19.37,19.49,19.39,24.12,23.96,23.89,23.99,12.23,NA,NA,4.02,4.04,3.81,2.62,NA,19.07,TEF,no,,,,urban.no
5/9/2022,2022,,03IJV22_KK,KK,03IJV22,Urban,South VT,,NA,,,,NA,1,2,2,SOSP,2.9,7.4,7.14,7.24,7.26,6.97,7.15,7.18,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,IJV,no,,,,urban.no
5/9/2022,2022,,03IJV22_RR,RR,03IJV22,Urban,South VT,,NA,,,,NA,1,2,2,SOSP,2.5,6.58,6.52,6.31,6.47,6.4,6.94,6.88,6.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,IJV,no,,,,urban.no
5/17/2022,2022,,03IJV22_KK,KK,03IJV22,Urban,South VT,,289196752,,,,NA,8,9,9,SOSP,16.4,20.41,20.441,20.4,20.417,34.17,33.96,34.21,34.11333333,24.26,13.74,11.38,4.83,4.94,4.88,6.38,1.2,19.84,IJV,no,,,,urban.no
5/17/2022,2022,,03IJV22_RR,RR,03IJV22,Urban,South VT,,289196751,,,,NA,8,9,9,SOSP,15,20.2,20.32,20.09,20.20333333,33.68,34.2,33.78,33.88666667,22.41,16.82,5.55,4.62,4.57,4.73,5.36,1.18,20.19,IJV,no,,,,urban.no
